# SBOM Audit Trail
# Generated: 2026-04-20T14:08:54Z
# Input: /tmp/ubuntu-24.04.cdx.json
# Output: sbom_output.json

## Override

[2026-04-20T14:08:03Z] OVERRIDE component.version MODIFIED "24.04" -> "24.04" (source: cli/env)
[2026-04-20T14:08:04Z] OVERRIDE component.name MODIFIED "ubuntu" -> "Ubuntu 24.04 (container)" (source: cli/env)

## Augmentation

[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/liblz4-1@1.9.4-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=lz4 supplier ADDED (source: license-db)
[2026-04-20T14:08:28Z] ENRICHMENT pkg:deb/ubuntu/liblz4-1@1.9.4-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=lz4 homepage ADDED (source: license-db)
[2026-04-20T14:08:29Z] ENRICHMENT pkg:deb/ubuntu/liblzma5@5.6.1%2Breally5.4.5-1ubuntu0.2?arch=arm64&distro=ubuntu-24.04&upstream=xz-utils supplier ADDED (source: purl)
[2026-04-20T14:08:29Z] ENRICHMENT pkg:deb/ubuntu/liblzma5@5.6.1%2Breally5.4.5-1ubuntu0.2?arch=arm64&distro=ubuntu-24.04&upstream=xz-utils homepage ADDED (source: purl)
[2026-04-20T14:08:30Z] ENRICHMENT pkg:deb/ubuntu/libmd0@1.1.0-2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=libmd supplier ADDED (source: purl)
[2026-04-20T14:08:30Z] ENRICHMENT pkg:deb/ubuntu/libmd0@1.1.0-2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=libmd homepage ADDED (source: purl)
[2026-04-20T14:08:30Z] ENRICHMENT pkg:deb/ubuntu/libmount1@2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux supplier ADDED (source: purl)
[2026-04-20T14:08:30Z] ENRICHMENT pkg:deb/ubuntu/libmount1@2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux homepage ADDED (source: purl)
[2026-04-20T14:08:31Z] ENRICHMENT pkg:deb/ubuntu/libncursesw6@6.4%2B20240113-1ubuntu2?arch=arm64&distro=ubuntu-24.04&upstream=ncurses supplier ADDED (source: purl)
[2026-04-20T14:08:31Z] ENRICHMENT pkg:deb/ubuntu/libncursesw6@6.4%2B20240113-1ubuntu2?arch=arm64&distro=ubuntu-24.04&upstream=ncurses homepage ADDED (source: purl)
[2026-04-20T14:08:32Z] ENRICHMENT pkg:deb/ubuntu/libnettle8t64@3.9.1-2.2build1.1?arch=arm64&distro=ubuntu-24.04&upstream=nettle supplier ADDED (source: purl)
